name,wins,podiums,total,total_pts,Win_ratio,podiums_ratio
brawn,8,15,34,0,0.23529411764705882,0.4411764705882353
matra-ford,9,15,40,0,0.225,0.375
mercedes,129,298,652,0,0.19785276073619631,0.4570552147239264
red bull,122,282,788,0,0.1548223350253807,0.35786802030456855
vanwall,10,14,71,0,0.14084507042253522,0.19718309859154928
watson,3,5,22,0,0.13636363636363635,0.22727272727272727
epperly,2,5,17,0,0.11764705882352941,0.29411764705882354
brabham-repco,8,25,77,0,0.1038961038961039,0.3246753246753247
ferrari,249,841,2439,0,0.10209102091020911,0.34481344813448134
mclaren,185,508,1923,0,0.09620384815392616,0.2641705668226729
lotus-climax,22,31,233,0,0.0944206008583691,0.13304721030042918
lotus-ford,11,25,128,0,0.0859375,0.1953125
williams,114,314,1676,0,0.06801909307875895,0.1873508353221957
benetton,27,102,520,0,0.051923076923076926,0.19615384615384615
team lotus,45,114,871,0,0.05166475315729047,0.13088404133180254
eagle-weslake,1,2,21,0,0.047619047619047616,0.09523809523809523
mclaren-ford,4,16,87,0,0.04597701149425287,0.1839080459770115
cooper-climax,12,44,268,0,0.04477611940298507,0.16417910447761194
renault,35,103,787,0,0.044472681067344345,0.13087674714104194
wolf,3,13,79,0,0.0379746835443038,0.16455696202531644
brabham,23,78,662,0,0.03474320241691843,0.11782477341389729
brabham-ford,2,9,58,0,0.034482758620689655,0.15517241379310345
brm,17,61,562,0,0.030249110320284697,0.10854092526690391
tyrrell,23,77,881,0,0.026106696935300794,0.08740068104426787
kuzma,1,3,39,0,0.02564102564102564,0.07692307692307693
alfa romeo,11,28,451,0,0.024390243902439025,0.06208425720620843
kurtis kraft,5,19,226,0,0.022123893805309734,0.084070796460177
penske,1,3,46,0,0.021739130434782608,0.06521739130434782
brabham-climax,2,11,93,0,0.021505376344086023,0.11827956989247312
maserati,9,40,436,0,0.020642201834862386,0.09174311926605505
honda,3,9,152,0,0.019736842105263157,0.05921052631578947
cooper,2,6,103,0,0.019417475728155338,0.05825242718446602
cooper-maserati,2,7,134,0,0.014925373134328358,0.05223880597014925
ligier,9,50,611,0,0.014729950900163666,0.08183306055646482
racing point,1,4,76,0,0.013157894736842105,0.05263157894736842
lotus f1,2,25,154,0,0.012987012987012988,0.16233766233766234
porsche,1,5,84,0,0.011904761904761904,0.05952380952380952
hesketh,1,7,97,0,0.010309278350515464,0.07216494845360824
stewart,1,5,98,0,0.01020408163265306,0.05102040816326531
lotus-brm,1,2,121,0,0.008264462809917356,0.01652892561983471
jordan,4,19,500,0,0.008,0.038
bmw sauber,1,17,140,0,0.007142857142857143,0.12142857142857143
alphatauri,1,2,166,0,0.006024096385542169,0.012048192771084338
march,3,16,524,0,0.0057251908396946565,0.030534351145038167
alpine f1 team,1,6,180,0,0.005555555555555556,0.03333333333333333
shadow,1,6,211,0,0.004739336492890996,0.02843601895734597
toro rosso,1,3,536,0,0.0018656716417910447,0.005597014925373134
deidt,0,2,8,0,0.0,0.25
phillips,0,1,7,0,0.0,0.14285714285714285
march-ford,0,5,43,0,0.0,0.11627906976744186
cooper-brm,0,2,21,0,0.0,0.09523809523809523
lancia,0,1,11,0,0.0,0.09090909090909091
matra,0,6,71,0,0.0,0.08450704225352113
lesovsky,0,1,15,0,0.0,0.06666666666666667
bar,0,15,236,0,0.0,0.0635593220338983
aston martin,0,9,191,0,0.0,0.04712041884816754
toyota,0,13,280,0,0.0,0.04642857142857143
shadow-ford,0,1,26,0,0.0,0.038461538461538464
brabham-brm,0,1,41,0,0.0,0.024390243902439025
talbot-lago,0,2,82,0,0.0,0.024390243902439025
toleman,0,3,131,0,0.0,0.022900763358778626
gordini,0,2,102,0,0.0,0.0196078431372549
fittipaldi,0,3,155,0,0.0,0.01935483870967742
onyx,0,1,52,0,0.0,0.019230769230769232
connaught,0,1,54,0,0.0,0.018518518518518517
prost,0,3,165,0,0.0,0.01818181818181818
leyton house,0,1,64,0,0.0,0.015625
force india,0,6,424,0,0.0,0.014150943396226415
dallara,0,2,144,0,0.0,0.013888888888888888
arrows,0,8,590,0,0.0,0.013559322033898305
lola,0,2,165,0,0.0,0.012121212121212121
sauber,0,10,837,0,0.0,0.011947431302270013
jaguar,0,2,170,0,0.0,0.011764705882352941
surtees,0,2,260,0,0.0,0.007692307692307693
footwork,0,1,194,0,0.0,0.005154639175257732
larrousse,0,1,216,0,0.0,0.004629629629629629
super aguri,0,0,78,0,0.0,0.0
spyker,0,0,34,0,0.0,0.0
mf1,0,0,28,0,0.0,0.0
spyker mf1,0,0,8,0,0.0,0.0
minardi,0,0,672,0,0.0,0.0
forti,0,0,54,0,0.0,0.0
pacific,0,0,66,0,0.0,0.0
simtek,0,0,40,0,0.0,0.0
fondmetal,0,0,42,0,0.0,0.0
andrea moda,0,0,15,0,0.0,0.0
lambo,0,0,32,0,0.0,0.0
ags,0,0,123,0,0.0,0.0
coloni,0,0,81,0,0.0,0.0
euro brun,0,0,76,0,0.0,0.0
osella,0,0,252,0,0.0,0.0
life,0,0,14,0,0.0,0.0
rial,0,0,48,0,0.0,0.0
zakspeed,0,0,133,0,0.0,0.0
ram,0,0,71,0,0.0,0.0
spirit,0,0,25,0,0.0,0.0
ats,0,0,162,0,0.0,0.0
