constructorId,total_points,name
1,666.0,mclaren
6,652.0,ferrari
9,589.0,red bull
131,468.0,mercedes
211,195.0,racing point
4,181.0,renault
23,172.0,brawn
117,94.0,aston martin
5,85.0,toro rosso
208,78.0,lotus f1
214,65.0,alpine f1 team
210,58.0,haas f1 team
10,52.0,force india
118,48.0,vanwall
37,48.0,march
215,46.0,rb f1 team
196,45.0,matra-ford
191,42.0,brabham-repco
170,40.0,cooper-climax
2,36.0,bmw sauber
172,35.0,lotus-climax
200,33.0,march-ford
87,31.0,cooper
183,30.0,brabham-climax
213,25.0,alphatauri
20,21.0,prost
27,20.0,ligier
26,19.0,lola
22,19.0,benetton
66,18.0,brm
3,17.0,williams
51,16.0,alfa romeo
64,15.0,hesketh
195,14.0,cooper-brm
17,13.0,jordan
21,11.0,arrows
202,9.5,shadow-ford
204,9.0,brabham-alfa romeo
58,9.0,shadow
41,7.0,leyton house
181,7.0,brabham-brm
34,6.0,brabham
105,6.0,maserati
24,6.0,stewart
46,6.0,onyx
94,6.0,brp
189,4.0,eagle-climax
15,4.0,sauber
19,4.0,jaguar
48,3.0,rial
171,3.0,cooper-castellotti
194,3.0,mclaren-brm
75,3.0,embassy hill
32,3.0,team lotus
33,3.0,larrousse
63,3.0,surtees
187,2.0,mclaren-ford
80,2.0,iso marlboro
7,2.0,toyota
206,2.0,marussia
12,1.0,spyker
176,1.0,lotus-brm
209,1.0,manor marussia
188,1.0,mclaren-serenissima
11,0.0,honda
164,0.0,hrt
166,0.0,virgin
127,0.0,osca
167,0.0,cooper-maserati
125,0.0,connaught
168,0.0,cooper-osca
169,0.0,cooper-borgward
124,0.0,tec-mec
123,0.0,fry
8,0.0,super aguri
13,0.0,mf1
14,0.0,spyker mf1
113,0.0,kurtis kraft
198,0.0,mclaren-alfa romeo
178,0.0,cooper-alfa romeo
173,0.0,lotus-maserati
174,0.0,de tomaso-osca
197,0.0,brm-ford
201,0.0,lotus-pratt &amp; whitney
193,0.0,cooper-ats
192,0.0,cooper-ferrari
203,0.0,shadow-matra
205,0.0,lotus
190,0.0,eagle-weslake
207,0.0,caterham
186,0.0,cooper-ford
185,0.0,lds-alfa romeo
184,0.0,lds-climax
182,0.0,brabham-ford
180,0.0,lotus-ford
179,0.0,de tomaso-ferrari
199,0.0,march-alfa romeo
177,0.0,lotus-borgward
175,0.0,de tomaso-alfa romeo
106,0.0,scarab
92,0.0,scirocco
104,0.0,behra-porsche
47,0.0,life
62,0.0,rebaque
61,0.0,kauhsen
60,0.0,merzario
59,0.0,wolf
57,0.0,ensign
56,0.0,fittipaldi
55,0.0,theodore
54,0.0,ats
53,0.0,toleman
52,0.0,spirit
50,0.0,ram
49,0.0,zakspeed
45,0.0,osella
67,0.0,penske
44,0.0,euro brun
42,0.0,coloni
40,0.0,lambo
39,0.0,ags
36,0.0,fondmetal
35,0.0,dallara
31,0.0,simtek
30,0.0,pacific
29,0.0,footwork
28,0.0,forti
25,0.0,tyrrell
16,0.0,bar
65,0.0,martini
68,0.0,lec
103,0.0,mbm
86,0.0,de tomaso
101,0.0,jbw
100,0.0,enb
99,0.0,emeryson
98,0.0,stebro
97,0.0,gilby
96,0.0,derrington
95,0.0,porsche
93,0.0,re
18,0.0,minardi
91,0.0,shannon
90,0.0,protos
89,0.0,lds
85,0.0,bellasi
69,0.0,mcguire
84,0.0,connew
82,0.0,matra
81,0.0,tecno
79,0.0,token
78,0.0,amon
77,0.0,trojan
76,0.0,lyncar
74,0.0,maki
73,0.0,parnelli
72,0.0,kojima
71,0.0,apollon
70,0.0,boro
83,0.0,politoys
