Name,total_points
max verstappen,388.48571428571427
lando norris,320.6
charles leclerc,313.98571428571427
oscar piastri,255.34285714285716
carlos sainz,254.5142857142857
george russell,215.65714285714284
lewis hamilton,192.50714285714287
sergio pérez,133.32857142857142
fernando alonso,66.94285714285715
pierre gasly,37.5
nico hülkenberg,35.25714285714286
yuki tsunoda,26.571428571428573
lance stroll,23.085714285714285
esteban ocon,22.82857142857143
kevin magnussen,13.771428571428572
alexander albon,10.714285714285715
oliver bearman,6.4714285714285715
daniel ricciardo,6.435714285714286
franco colapinto,4.414285714285715
guanyu zhou,4.0
liam lawson,3.9142857142857146
logan sargeant,0.0
jack doohan,0.0
valtteri bottas,0.0
