Name,total_points_2024,total_points_2025,point_change
lando norris,344.0,320.6,-23.399999999999977
lewis hamilton,207.0,192.50714285714287,-14.492857142857133
charles leclerc,327.0,313.98571428571427,-13.014285714285734
max verstappen,399.0,388.48571428571427,-10.514285714285734
george russell,226.0,215.65714285714284,-10.342857142857156
oscar piastri,265.0,255.34285714285716,-9.657142857142844
carlos sainz,262.0,254.5142857142857,-7.485714285714295
sergio pérez,138.0,133.32857142857142,-4.671428571428578
fernando alonso,70.0,66.94285714285715,-3.05714285714285
pierre gasly,40.0,37.5,-2.5
yuki tsunoda,29.0,26.571428571428573,-2.428571428571427
alexander albon,12.0,10.714285714285715,-1.2857142857142847
lance stroll,24.0,23.085714285714285,-0.9142857142857146
nico hülkenberg,36.0,35.25714285714286,-0.7428571428571402
franco colapinto,5.0,4.414285714285715,-0.5857142857142854
daniel ricciardo,7.0,6.435714285714286,-0.5642857142857141
oliver bearman,7.0,6.4714285714285715,-0.5285714285714285
kevin magnussen,14.0,13.771428571428572,-0.22857142857142776
esteban ocon,23.0,22.82857142857143,-0.17142857142857082
liam lawson,4.0,3.9142857142857146,-0.08571428571428541
jack doohan,0.0,0.0,0.0
logan sargeant,0.0,0.0,0.0
guanyu zhou,4.0,4.0,0.0
valtteri bottas,0.0,0.0,0.0
