constructor_name,total_points_2024,total_points_2025,point_change
mclaren,609.0,575.9428571428572,-33.05714285714282
mercedes,433.0,408.1642857142857,-24.83571428571429
ferrari,595.0,574.3285714285714,-20.671428571428578
red bull,537.0,521.8142857142857,-15.185714285714312
aston martin,94.0,90.02857142857142,-3.971428571428575
rb f1 team,40.0,36.92142857142857,-3.078571428571429
alpine f1 team,63.0,60.32857142857143,-2.671428571428571
williams,17.0,15.128571428571428,-1.8714285714285719
haas f1 team,51.0,49.67142857142857,-1.3285714285714292
sauber,4.0,4.0,0.0
