circuitId,circuitRef,name,location,country,lat,lng,alt
1,albert_park,albert park grand prix circuit,melbourne,australia,-37.8497,144.968,10
2,sepang,sepang international circuit,kuala lumpur,malaysia,2.76083,101.738,18
3,bahrain,bahrain international circuit,sakhir,bahrain,26.0325,50.5106,7
4,catalunya,circuit de barcelona-catalunya,montmeló,spain,41.57,2.26111,109
5,istanbul,istanbul park,istanbul,turkey,40.9517,29.405,130
6,monaco,circuit de monaco,monte-carlo,monaco,43.7347,7.42056,7
7,villeneuve,circuit gilles villeneuve,montreal,canada,45.5,-73.5228,13
8,magny_cours,circuit de nevers magny-cours,magny cours,france,46.8642,3.16361,228
9,silverstone,silverstone circuit,silverstone,uk,52.0786,-1.01694,153
10,hockenheimring,hockenheimring,hockenheim,germany,49.3278,8.56583,103
11,hungaroring,hungaroring,budapest,hungary,47.5789,19.2486,264
12,valencia,valencia street circuit,valencia,spain,39.4589,-0.331667,4
13,spa,circuit de spa-francorchamps,spa,belgium,50.4372,5.97139,401
14,monza,autodromo nazionale di monza,monza,italy,45.6156,9.28111,162
15,marina_bay,marina bay street circuit,marina bay,singapore,1.2914,103.864,18
16,fuji,fuji speedway,oyama,japan,35.3717,138.927,583
17,shanghai,shanghai international circuit,shanghai,china,31.3389,121.22,5
18,interlagos,autódromo josé carlos pace,são paulo,brazil,-23.7036,-46.6997,785
19,indianapolis,indianapolis motor speedway,indianapolis,usa,39.795,-86.2347,223
20,nurburgring,nürburgring,nürburg,germany,50.3356,6.9475,578
21,imola,autodromo enzo e dino ferrari,imola,italy,44.3439,11.7167,37
22,suzuka,suzuka circuit,suzuka,japan,34.8431,136.541,45
80,vegas,las vegas strip street circuit,las vegas,united states,36.1147,-115.173,642
24,yas_marina,yas marina circuit,abu dhabi,uae,24.4672,54.6031,3
25,galvez,autódromo juan y oscar gálvez,buenos aires,argentina,-34.6943,-58.4593,8
26,jerez,circuito de jerez,jerez de la frontera,spain,36.7083,-6.03417,37
27,estoril,autódromo do estoril,estoril,portugal,38.7506,-9.39417,130
28,okayama,okayama international circuit,okayama,japan,34.915,134.221,266
29,adelaide,adelaide street circuit,adelaide,australia,-34.9272,138.617,58
30,kyalami,kyalami,midrand,south africa,-25.9894,28.0767,1460
31,donington,donington park,castle donington,uk,52.8306,-1.37528,88
32,rodriguez,autódromo hermanos rodríguez,mexico city,mexico,19.4042,-99.0907,2227
33,phoenix,phoenix street circuit,phoenix,usa,33.4479,-112.075,345
34,ricard,circuit paul ricard,le castellet,france,43.2506,5.79167,432
35,yeongam,korean international circuit,yeongam county,korea,34.7333,126.417,0
36,jacarepagua,autódromo internacional nelson piquet,rio de janeiro,brazil,-22.9756,-43.395,1126
37,detroit,detroit street circuit,detroit,usa,42.3298,-83.0401,177
38,brands_hatch,brands hatch,kent,uk,51.3569,0.263056,145
39,zandvoort,circuit park zandvoort,zandvoort,netherlands,52.3888,4.54092,6
40,zolder,zolder,heusden-zolder,belgium,50.9894,5.25694,36
41,dijon,dijon-prenois,dijon,france,47.3625,4.89913,484
42,dallas,fair park,dallas,usa,32.7774,-96.7587,139
43,long_beach,long beach,california,usa,33.7651,-118.189,12
44,las_vegas,las vegas street circuit,nevada,usa,36.1162,-115.174,639
45,jarama,jarama,madrid,spain,40.6171,-3.58558,609
46,watkins_glen,watkins glen,new york state,usa,42.3369,-76.9272,485
47,anderstorp,scandinavian raceway,anderstorp,sweden,57.2653,13.6042,153
48,mosport,mosport international raceway,ontario,canada,44.0481,-78.6756,332
49,montjuic,montjuïc,barcelona,spain,41.3664,2.15167,79
50,nivelles,nivelles-baulers,brussels,belgium,50.6211,4.32694,139
51,charade,charade circuit,clermont-ferrand,france,45.7472,3.03889,790
52,tremblant,circuit mont-tremblant,quebec,canada,46.1877,-74.6099,214
53,essarts,rouen-les-essarts,rouen,france,49.3306,1.00458,81
54,lemans,le mans,le mans,france,47.95,0.224231,67
55,reims,reims-gueux,reims,france,49.2542,3.93083,88
56,george,prince george circuit,eastern cape province,south africa,-33.0486,27.8736,15
57,zeltweg,zeltweg,styria,austria,47.2039,14.7478,676
58,aintree,aintree,liverpool,uk,53.4769,-2.94056,20
59,boavista,circuito da boavista,oporto,portugal,41.1705,-8.67325,28
60,riverside,riverside international raceway,california,usa,33.937,-117.273,470
61,avus,avus,berlin,germany,52.4806,13.2514,53
62,monsanto,monsanto park circuit,lisbon,portugal,38.7197,-9.20306,158
63,sebring,sebring international raceway,florida,usa,27.4547,-81.3483,18
64,ain-diab,ain diab,casablanca,morocco,33.5786,-7.6875,19
65,pescara,pescara circuit,pescara,italy,42.475,14.1508,129
66,bremgarten,circuit bremgarten,bern,switzerland,46.9589,7.40194,551
67,pedralbes,circuit de pedralbes,barcelona,spain,41.3903,2.11667,85
68,buddh,buddh international circuit,uttar pradesh,india,28.3487,77.5331,194
69,americas,circuit of the americas,austin,usa,30.1328,-97.6411,161
70,red_bull_ring,red bull ring,spielberg,austria,47.2197,14.7647,678
71,sochi,sochi autodrom,sochi,russia,43.4057,39.9578,2
73,baku,baku city circuit,baku,azerbaijan,40.3725,49.8533,-7
75,portimao,autódromo internacional do algarve,portimão,portugal,37.227,-8.6267,108
76,mugello,autodromo internazionale del mugello,mugello,italy,43.9975,11.3719,255
77,jeddah,jeddah corniche circuit,jeddah,saudi arabia,21.6319,39.1044,15
78,losail,losail international circuit,al daayen,qatar,25.49,51.4542,12
79,miami,miami international autodrome,miami,usa,25.9581,-80.2389,0
