resultId,raceId,driverId,constructorId,number,grid,positionText,positionOrder,points,laps,milliseconds,fastestLap,rank,fastestLapSpeed,status,fastestlaptime_ms
1,18,1,1,22,1,1,1,10.0,58,5690616,39,2,218.300,Finished,87452
2,18,2,2,3,5,2,2,8.0,58,5696094,41,3,217.586,Finished,87739
3,18,3,3,7,7,3,3,6.0,58,5698779,41,5,216.719,Finished,88090
4,18,4,4,5,11,4,4,5.0,58,5707797,58,7,215.464,Finished,88603
5,18,5,1,23,3,5,5,4.0,58,5708630,43,1,218.385,Finished,87418
6,18,6,3,8,13,6,6,3.0,57,\N,50,14,212.974,+1 Lap,89639
7,18,7,5,14,17,7,7,2.0,55,\N,54,8,213.224,Engine,89533
8,18,8,6,1,15,8,8,1.0,53,\N,20,4,217.180,Engine,87902
9,18,9,2,4,2,R,9,0.0,47,\N,15,9,215.100,Collision,88753
10,18,10,7,12,18,R,10,0.0,43,\N,23,13,213.166,Accident,89558
11,18,11,8,18,19,R,11,0.0,32,\N,24,15,210.038,Transmission,90892
12,18,12,4,6,20,R,12,0.0,30,\N,20,16,208.907,Clutch,91384
13,18,13,6,2,4,R,13,0.0,29,\N,23,6,216.510,Engine,88175
14,18,14,9,9,8,R,14,0.0,25,\N,21,11,213.300,Collision,89502
15,18,15,7,11,6,R,15,0.0,19,\N,18,10,213.758,Electrical,89310
16,18,16,10,20,22,R,16,0.0,8,\N,8,17,207.461,Hydraulics,92021
17,18,17,9,10,14,R,17,0.0,0,\N,\N,\N,\N,Collision,-100
18,18,18,11,16,12,R,18,0.0,0,\N,\N,\N,\N,Collision,-100
19,18,19,8,19,21,R,19,0.0,0,\N,\N,\N,\N,Collision,-100
20,18,20,5,15,9,R,20,0.0,0,\N,\N,\N,\N,Collision,-100
21,18,21,10,21,16,R,21,0.0,0,\N,\N,\N,\N,Collision,-100
22,18,22,11,17,10,D,22,0.0,58,\N,44,8,215.141,Disqualified,88736
23,19,8,6,1,2,1,1,10.0,56,5478555,37,2,209.158,Finished,95405
24,19,9,2,4,4,2,2,8.0,56,5498125,39,6,208.033,Finished,95920
25,19,5,1,23,8,3,3,6.0,56,5517005,19,7,208.031,Finished,95922
26,19,15,7,11,3,4,4,5.0,56,5524387,53,8,207.715,Finished,96068
27,19,1,1,22,9,5,5,4.0,56,5525103,53,3,209.033,Finished,95462
28,19,2,2,3,5,6,6,3.0,56,5528388,55,1,209.244,Finished,95366
29,19,17,9,10,6,7,7,2.0,56,5546685,53,12,206.366,Finished,96696
30,19,4,4,5,7,8,8,1.0,56,5548596,40,10,207.240,Finished,96288
31,19,14,9,9,12,9,9,0.0,56,5554775,55,9,207.417,Finished,96206
32,19,18,11,16,11,10,10,0.0,56,5564769,56,4,208.481,Finished,95715
33,19,12,4,6,13,11,11,0.0,56,5570757,52,15,205.812,Finished,96956
34,19,21,10,21,17,12,12,0.0,55,\N,52,16,205.800,+1 Lap,96962
35,19,22,11,17,14,13,13,0.0,55,\N,55,11,206.372,+1 Lap,96693
36,19,3,3,7,16,14,14,0.0,55,\N,55,13,206.182,+1 Lap,96782
37,19,19,8,19,21,15,15,0.0,55,\N,55,18,203.265,+1 Lap,98170
38,19,11,8,18,19,16,16,0.0,54,\N,53,19,202.578,+2 Laps,98503
39,19,6,3,8,22,17,17,0.0,54,\N,19,17,204.222,+2 Laps,97711
40,19,20,5,15,15,R,18,0.0,39,\N,37,14,205.995,Engine,96870
41,19,13,6,2,1,R,19,0.0,30,\N,15,5,208.048,Spun off,95914
42,19,16,10,20,20,R,20,0.0,5,\N,3,20,198.891,Hydraulics,100330
43,19,10,7,12,10,R,21,0.0,1,\N,\N,\N,\N,Collision,-100
44,19,7,5,14,18,R,22,0.0,0,\N,\N,\N,\N,Spun off,-100
45,20,13,6,2,2,1,1,10.0,57,5466970,38,3,208.153,Finished,93600
46,20,8,6,1,4,2,2,8.0,57,5470309,35,4,207.911,Finished,93709
47,20,9,2,4,1,3,3,6.0,57,5471968,55,5,207.765,Finished,93775
48,20,2,2,3,6,4,4,5.0,57,5475379,48,2,208.231,Finished,93565
49,20,5,1,23,5,5,5,4.0,57,5493759,49,1,209.062,Finished,93193
50,20,15,7,11,7,6,6,3.0,57,5508284,45,7,206.819,Finished,94204
51,20,17,9,10,11,7,7,2.0,57,5512443,51,8,206.597,Finished,94305
52,20,3,3,7,8,8,8,1.0,57,5522859,57,6,207.109,Finished,94072
53,20,10,7,12,13,9,9,0.0,57,5536470,56,9,205.503,Finished,94807
54,20,4,4,5,10,10,10,0.0,57,5544151,35,13,204.668,Finished,95194
55,20,22,11,17,12,11,11,0.0,57,5544832,40,10,205.399,Finished,94854
56,20,21,10,21,18,12,12,0.0,56,\N,56,11,204.963,+1 Lap,95057
57,20,1,1,22,3,13,13,0.0,56,\N,25,19,203.969,+1 Lap,95520
58,20,6,3,8,16,14,14,0.0,56,\N,30,17,204.155,+1 Lap,95433
59,20,7,5,14,15,15,15,0.0,56,\N,33,15,204.369,+1 Lap,95333
60,20,19,8,19,21,16,16,0.0,56,\N,45,14,204.389,+1 Lap,95324
61,20,11,8,18,22,17,17,0.0,56,\N,56,20,203.180,+1 Lap,95890
62,20,14,9,9,17,18,18,0.0,56,\N,43,16,204.331,+1 Lap,95351
63,20,16,10,20,20,19,19,0.0,56,\N,55,18,204.136,+2 Laps,95442
64,20,12,4,6,14,R,20,0.0,40,\N,31,12,204.808,Gearbox,95128
65,20,18,11,16,9,R,21,0.0,19,\N,11,21,202.686,Collision,96125
66,20,20,5,15,19,R,22,0.0,0,\N,\N,\N,\N,Engine,-100
67,21,8,6,1,1,1,1,10.0,66,5899051,46,1,205.191,Finished,81670
68,21,13,6,2,3,2,2,8.0,66,5902279,45,2,204.863,Finished,81801
69,21,1,1,22,5,3,3,6.0,66,5903238,20,3,204.323,Finished,82017
70,21,9,2,4,4,4,4,5.0,66,5904745,20,4,204.102,Finished,82106
71,21,17,9,10,7,5,5,4.0,66,5934989,19,8,202.969,Finished,82564
