resultId,raceId,driverId,constructorId,number,grid,positionText,positionOrder,points,laps,milliseconds,fastestLap,status,fastestlaptime_ms
1,1061,830,9,33,2,1,1,3,17,1538426,14,Finished,90013
2,1061,1,131,44,1,2,2,2,17,1539856,17,Finished,89937
3,1061,822,131,77,3,3,3,1,17,1545928,17,Finished,89958
4,1061,844,6,16,4,4,4,0,17,1549704,16,Finished,90163
5,1061,846,1,4,6,5,5,0,17,1562537,16,Finished,90566
6,1061,817,1,3,7,6,6,0,17,1569385,17,Finished,90640
7,1061,4,214,14,11,7,7,0,17,1581953,17,Finished,91773
8,1061,20,117,5,10,8,8,0,17,1582865,17,Finished,91687
9,1061,847,3,63,8,9,9,0,17,1585078,17,Finished,92208
10,1061,839,214,31,13,10,10,0,17,1585821,16,Finished,92183
11,1061,832,6,55,9,11,11,0,17,1586224,10,Finished,91991
12,1061,842,213,10,12,12,12,0,17,1587189,17,Finished,92072
13,1061,8,51,7,17,13,13,0,17,1589103,12,Finished,92139
14,1061,840,117,18,15,14,14,0,17,1590605,12,Finished,92210
15,1061,841,51,99,14,15,15,0,17,1591651,14,Finished,92457
16,1061,852,213,22,16,16,16,0,17,1591993,14,Finished,92270
17,1061,849,3,6,18,17,17,0,17,1593588,17,Finished,92143
18,1061,854,210,47,19,18,18,0,17,1606639,15,Finished,92567
19,1061,853,210,9,20,19,19,0,17,1616074,3,Finished,93462
20,1061,815,9,11,5,R,20,0,16,\N,6,Vibrations,91465
21,1065,822,131,77,1,1,1,3,18,1674078,9,Finished,83539
22,1065,830,9,33,3,2,2,2,18,1676403,9,Finished,83502
23,1065,817,1,3,5,3,3,1,18,1688612,17,Finished,84291
24,1065,846,1,4,4,4,4,0,18,1692913,9,Finished,84554
25,1065,1,131,44,2,5,5,0,18,1694089,9,Finished,84253
26,1065,844,6,16,8,6,6,0,18,1697520,18,Finished,84676
27,1065,832,6,55,7,7,7,0,18,1702030,8,Finished,84918
28,1065,841,51,99,10,8,8,0,18,1705167,10,Finished,85126
29,1065,815,9,11,9,9,9,0,18,1705758,12,Finished,84211
30,1065,840,117,18,12,10,10,0,18,1712749,8,Finished,85349
31,1065,4,214,14,13,11,11,0,18,1713873,8,Finished,85225
32,1065,20,117,5,11,12,12,0,18,1715255,8,Finished,85493
33,1065,839,214,31,14,13,13,0,18,1717451,8,Finished,85613
34,1065,849,3,6,16,14,14,0,18,1720055,9,Finished,85711
35,1065,847,3,63,15,15,15,0,18,1720899,15,Finished,85835
36,1065,852,213,22,17,16,16,0,18,1724055,18,Finished,85847
37,1065,853,210,9,20,17,17,0,18,1736677,7,Finished,86613
38,1065,9,51,88,19,18,18,0,18,1739174,12,Finished,86771
39,1065,854,210,47,18,19,19,0,18,1740232,7,Finished,86819
40,1065,842,213,10,6,R,20,0,0,\N,\N,Accident,-100
41,1071,822,131,77,2,1,1,3,24,1749559,8,Finished,72300
42,1071,830,9,33,1,2,2,2,24,1750729,9,Finished,72114
43,1071,832,6,55,5,3,3,1,24,1768282,13,Finished,73167
44,1071,815,9,11,3,4,4,0,24,1769346,13,Finished,73110
45,1071,1,131,44,20,5,5,0,24,1770431,5,Finished,72357
46,1071,846,1,4,7,6,6,0,24,1772117,8,Finished,72994
47,1071,844,6,16,6,7,7,0,24,1774615,4,Finished,73140
48,1071,842,213,10,4,8,8,0,24,1783717,4,Finished,73342
49,1071,839,214,31,10,9,9,0,24,1784191,11,Finished,73615
50,1071,20,117,5,11,10,10,0,24,1784426,5,Finished,73558
51,1071,817,1,3,8,11,11,0,24,1785428,9,Finished,73463
52,1071,4,214,14,9,12,12,0,24,1786137,4,Finished,73397
53,1071,841,51,99,14,13,13,0,24,1791439,11,Finished,73627
54,1071,840,117,18,15,14,14,0,24,1793596,9,Finished,73666
55,1071,852,213,22,12,15,15,0,24,1795709,11,Finished,73747
56,1071,849,3,6,16,16,16,0,24,1796319,7,Finished,73934
57,1071,847,3,63,17,17,17,0,24,1797298,14,Finished,74056
58,1071,8,51,7,13,18,18,0,24,1799573,9,Finished,73900
59,1071,854,210,47,18,19,19,0,24,1811239,9,Finished,74387
60,1071,853,210,9,19,20,20,0,24,1817033,6,Finished,74583
61,1077,830,9,1,1,1,1,8,21,1839567,14,Finished,79154
62,1077,844,6,16,2,2,2,7,21,1842542,11,Finished,79044
63,1077,815,9,11,7,3,3,6,21,1844288,14,Finished,79012
64,1077,832,6,55,10,4,4,5,21,1857145,14,Finished,79251
65,1077,846,1,4,3,5,5,4,21,1864128,9,Finished,80030
66,1077,817,1,3,6,6,6,3,21,1867307,12,Finished,80328
67,1077,822,51,77,8,7,7,2,21,1867700,9,Finished,80219
68,1077,825,210,20,4,8,8,1,21,1870279,6,Finished,80557
69,1077,4,214,14,5,9,9,0,21,1871845,10,Finished,80639
70,1077,854,210,47,12,10,10,0,21,1873340,15,Finished,80567
71,1077,847,131,63,11,11,11,0,21,1875851,19,Finished,80756
72,1077,852,213,22,16,12,12,0,21,1877865,20,Finished,80908
73,1077,20,117,5,9,13,13,0,21,1879744,8,Finished,81044
74,1077,1,131,44,13,14,14,0,21,1881026,9,Finished,80663
75,1077,840,117,18,15,15,15,0,21,1882477,14,Finished,80948
76,1077,839,214,31,19,16,16,0,21,1883084,14,Finished,80995
77,1077,842,213,10,17,17,17,0,21,1883361,18,Finished,80599
78,1077,848,3,23,20,18,18,0,21,1888438,14,Finished,81020
79,1077,849,3,6,18,19,19,0,21,1891584,16,Finished,81437
80,1077,855,51,24,0,R,20,0,0,\N,\N,Retired,-100
81,1084,830,9,1,1,1,1,8,23,1590059,5,Finished,68455
82,1084,844,6,16,2,2,2,7,23,1591734,4,Finished,68321
83,1084,832,6,55,3,3,3,6,23,1595703,4,Finished,68409
84,1084,847,131,63,4,4,4,5,23,1603488,4,Finished,68979
85,1084,815,9,11,13,5,5,4,23,1608361,14,Finished,69137
86,1084,839,214,31,5,6,6,3,23,1621091,4,Finished,69384
87,1084,825,210,20,6,7,7,2,23,1624598,4,Finished,69232
88,1084,1,131,44,9,8,8,1,23,1625506,7,Finished,69516
89,1084,854,210,47,7,9,9,0,23,1627222,4,Finished,69457
90,1084,822,51,77,12,10,10,0,23,1627616,4,Finished,69674
91,1084,846,1,4,15,11,11,0,23,1628639,8,Finished,69909
92,1084,817,1,3,16,12,12,0,23,1629797,8,Finished,69996
93,1084,840,117,18,17,13,13,0,23,1638300,4,Finished,70295
94,1084,855,51,24,18,14,14,0,23,1640812,11,Finished,70164
95,1084,842,213,10,10,15,15,0,23,1642184,4,Finished,70409
96,1084,848,3,23,11,16,16,0,23,1642471,5,Finished,70367
97,1084,852,213,22,14,17,17,0,23,1644615,4,Finished,70267
98,1084,849,3,6,19,18,18,0,23,1658753,4,Finished,70284
99,1084,20,117,5,20,19,19,0,21,\N,4,Collision damage,70317
100,1084,4,214,14,8,N,20,0,0,\N,\N,Electrical,-100
101,1095,847,131,63,3,1,1,8,24,1811307,4,Finished,74233
102,1095,832,6,55,5,2,2,7,24,1815302,2,Finished,74522
103,1095,1,131,44,8,3,3,6,24,1815799,3,Finished,74317
104,1095,830,9,1,2,4,4,5,24,1821801,5,Finished,74507
105,1095,815,9,11,9,5,5,4,24,1823162,5,Finished,74699
106,1095,844,6,16,10,6,6,3,24,1824440,4,Finished,75236
107,1095,846,1,4,4,7,7,2,24,1836931,4,Finished,75380
108,1095,825,210,20,1,8,8,1,24,1840075,2,Finished,75110
109,1095,20,117,5,13,9,9,0,24,1841525,4,Finished,75451
110,1095,842,213,10,12,10,10,0,24,1845477,3,Finished,75289
111,1095,817,1,3,14,11,11,0,24,1850702,5,Finished,75385
112,1095,854,210,47,20,12,12,0,24,1852466,5,Finished,75771
113,1095,855,51,24,17,13,13,0,24,1853070,7,Finished,75765
114,1095,822,51,77,18,14,14,0,24,1853645,8,Finished,75980
115,1095,852,213,22,19,15,15,0,24,1861613,4,Finished,76413
116,1095,840,117,18,15,16,16,0,24,1862007,4,Finished,75425
117,1095,839,214,31,6,17,17,0,24,1863063,5,Finished,76097
118,1095,4,214,14,7,18,18,0,24,1865292,5,Finished,74764
119,1095,849,3,6,16,19,19,0,24,1888157,4,Finished,76525
120,1095,848,3,23,11,R,20,0,12,\N,4,Retired,75998
121,1101,815,9,11,2,1,1,8,17,1997667,11,Finished,103616
122,1101,844,6,16,1,2,2,7,17,2002130,12,Finished,103646
123,1101,830,9,1,3,3,3,6,17,2002732,10,Finished,103723
124,1101,847,131,63,4,4,4,5,17,2001134,10,Finished,104408
125,1101,832,6,55,5,5,5,4,17,2008055,11,Finished,104398
126,1101,4,117,14,8,6,6,3,17,2009280,12,Finished,104544
127,1101,1,131,44,6,7,7,2,17,2002557,8,Finished,104601
128,1101,840,117,18,9,8,8,1,17,2016084,14,Finished,104854
129,1101,848,3,23,7,9,9,0,17,2019424,10,Finished,104914
130,1101,857,1,81,11,10,10,0,17,2020518,8,Finished,104776
131,1101,825,210,20,13,11,11,0,17,2025657,14,Finished,105348
132,1101,855,51,24,14,12,12,0,17,2032269,16,Finished,105765
133,1101,842,214,10,17,13,13,0,17,2034585,12,Finished,105883
134,1101,856,213,21,18,14,14,0,17,2039293,17,Finished,105768
135,1101,807,210,27,12,15,15,0,17,2046254,8,Finished,105971
136,1101,822,51,77,15,16,16,0,17,2047584,9,Finished,106277
137,1101,846,1,4,10,17,17,0,17,2048771,15,Finished,104484
138,1101,839,214,31,0,18,18,0,17,2058288,15,Finished,105090
139,1101,852,213,22,16,R,19,0,2,\N,\N,Collision damage,-100
140,1101,858,3,2,0,W,20,0,0,\N,\N,Accident,-100
141,1107,830,9,1,1,1,1,8,24,1826730,19,Finished,74292
142,1107,815,9,11,2,2,2,7,24,1847778,16,Finished,75492
143,1107,832,6,55,5,3,3,6,24,1849818,16,Finished,75457
144,1107,840,117,18,7,4,4,5,24,1856433,23,Finished,75531
145,1107,4,117,14,6,5,5,4,24,1856839,18,Finished,74978
146,1107,807,210,27,4,6,6,3,24,1858027,24,Finished,70180
147,1107,839,214,31,8,7,7,2,24,1863332,22,Finished,75512
148,1107,847,131,63,15,8,8,1,24,1863341,23,Finished,70385
149,1107,846,1,4,3,9,9,0,24,1865338,19,Finished,75627
150,1107,1,131,44,18,10,10,0,24,1873105,24,Finished,70775
151,1107,857,1,81,17,11,11,0,24,1876537,24,Finished,70274
152,1107,844,6,16,9,12,12,0,24,1877519,24,Finished,70686
153,1107,848,3,23,11,13,13,0,24,1879578,24,Finished,71635
154,1107,825,210,20,10,14,14,0,24,1883323,23,Finished,70539
155,1107,842,214,10,12,15,15,0,24,1884382,22,Finished,76109
156,1107,852,213,22,13,16,16,0,24,1891552,23,Finished,71363
157,1107,856,213,21,14,17,17,0,24,1892347,22,Finished,71701
158,1107,858,3,2,20,18,18,0,24,1892789,21,Finished,71829
159,1107,855,51,24,16,19,19,0,24,1897555,22,Finished,71305
160,1107,822,51,77,0,20,20,0,24,1903165,22,Finished,76758
161,1110,830,9,1,1,1,1,8,11,1498433,6,Finished,118943
162,1110,857,1,81,2,2,2,7,11,1505110,2,Finished,120360
163,1110,842,214,10,6,3,3,6,11,1509166,6,Finished,121857
164,1110,832,6,55,3,4,4,5,11,1511081,7,Finished,121472
165,1110,844,6,16,4,5,5,4,11,1513449,7,Finished,122635
166,1110,846,1,4,5,6,6,3,11,1514485,8,Finished,122085
167,1110,1,131,44,7,7,7,2,11,1515190,7,Finished,120920
168,1110,847,131,63,10,8,8,1,11,1515255,10,Finished,121935
169,1110,839,214,31,9,9,9,0,11,1520843,6,Finished,123061
170,1110,817,213,3,11,10,10,0,11,1521239,8,Finished,122967
171,1110,840,117,18,14,11,11,0,11,1523440,6,Finished,123356
172,1110,848,3,23,12,12,12,0,11,1524736,6,Finished,123674
173,1110,822,51,77,17,13,13,0,11,1525439,6,Finished,123595
174,1110,825,210,20,18,14,14,0,11,1531419,6,Finished,123965
175,1110,855,51,24,19,15,15,0,11,1534775,6,Finished,124760
176,1110,858,3,2,13,16,16,0,11,1536004,6,Finished,123482
177,1110,807,210,27,20,17,17,0,11,1536260,6,Finished,123472
178,1110,852,213,22,16,18,18,0,11,1537700,7,Finished,122080
179,1110,815,9,11,8,R,19,0,8,\N,2,Collision damage,122516
180,1110,4,117,14,15,R,20,0,2,\N,\N,Accident,-100
181,1115,857,1,81,1,1,1,8,19,2101297,17,Finished,85926
182,1115,830,9,1,3,2,2,7,19,2103168,17,Finished,85604
183,1115,846,1,4,2,3,3,6,19,2109794,19,Finished,85662
184,1115,847,131,63,4,4,4,5,19,2112333,18,Finished,87220
185,1115,1,131,44,12,5,5,4,19,2118611,19,Finished,87968
186,1115,832,6,55,5,6,6,3,19,2120103,7,Finished,88644
187,1115,848,3,23,17,7,7,2,19,2121161,16,Finished,88717
188,1115,4,117,14,9,8,8,1,19,2122477,16,Finished,88717
189,1115,842,214,10,11,9,9,0,19,2123039,16,Finished,88769
190,1115,822,51,77,13,10,10,0,19,2123505,17,Finished,89017
191,1115,852,213,22,18,11,11,0,19,2124160,17,Finished,89381
192,1115,844,6,16,6,12,12,0,19,2126157,8,Finished,88759
193,1115,840,117,18,16,13,13,0,19,2125820,17,Finished,89536
194,1115,825,210,20,19,14,14,0,19,2126267,17,Finished,89560
195,1115,855,51,24,15,15,15,0,19,2128165,17,Finished,89553
196,1115,807,210,27,7,R,16,0,11,\N,9,Retired,89307
197,1115,839,214,31,10,R,17,0,10,\N,8,Retired,89388
198,1115,815,9,11,8,R,18,0,10,\N,9,Retired,88584
199,1115,858,3,2,20,R,19,0,2,\N,2,Retired,123562
200,1115,859,213,40,14,R,20,0,0,\N,\N,Retired,-100
201,1116,830,9,1,1,1,1,8,19,1890849,2,Finished,99060
202,1116,1,131,44,3,2,2,7,19,1900314,3,Finished,99138
203,1116,844,6,16,2,3,3,6,19,1908836,3,Finished,99634
204,1116,846,1,4,4,4,4,5,19,1909712,15,Finished,99795
205,1116,815,9,11,7,5,5,4,19,1913777,6,Finished,99824
206,1116,832,6,55,6,6,6,3,19,1919156,5,Finished,100223
207,1116,842,214,10,9,7,7,2,19,1923252,5,Finished,100155
208,1116,847,131,63,11,8,8,1,19,1925099,10,Finished,100253
209,1116,848,3,23,8,9,9,0,19,1925416,17,Finished,100094
210,1116,857,1,81,5,10,10,0,19,1933252,16,Finished,101037
211,1116,839,214,31,13,11,11,0,19,1935835,15,Finished,101013
212,1116,817,213,3,10,12,12,0,19,1936358,14,Finished,100434
213,1116,4,117,14,12,13,13,0,19,1939935,16,Finished,100805
214,1116,852,213,22,19,14,14,0,19,1940582,17,Finished,100632
215,1116,807,210,27,16,15,15,0,19,1947499,18,Finished,101232
216,1116,822,51,77,18,16,16,0,19,1955250,18,Finished,101503
217,1116,855,51,24,15,17,17,0,19,1958821,18,Finished,101595
218,1116,825,210,20,17,18,18,0,19,1961971,3,Finished,101699
219,1116,858,3,2,20,19,19,0,19,1962298,6,Finished,101947
220,1116,840,117,18,14,R,20,0,16,\N,5,Brakes,101460
221,1118,830,9,1,2,1,1,8,24,1807209,3,Finished,74539
222,1118,846,1,4,1,2,2,7,24,1811496,3,Finished,74647
223,1118,815,9,11,3,3,3,6,24,1820826,2,Finished,75008
224,1118,847,131,63,4,4,4,5,24,1833088,2,Finished,74422
225,1118,844,6,16,7,5,5,4,24,1835769,3,Finished,75411
226,1118,852,213,22,6,6,6,3,24,1836419,2,Finished,75532
227,1118,1,131,44,5,7,7,2,24,1841935,2,Finished,75276
228,1118,832,6,55,9,8,8,1,24,1842315,3,Finished,75362
229,1118,817,213,3,8,9,9,0,24,1842512,2,Finished,75460
230,1118,857,1,81,10,10,10,0,24,1845428,2,Finished,75463
231,1118,4,117,14,15,11,11,0,24,1846270,4,Finished,75477
232,1118,840,117,18,17,12,12,0,24,1846687,3,Finished,75467
233,1118,842,214,10,13,13,13,0,24,1847830,3,Finished,75209
234,1118,839,214,31,16,14,14,0,24,1850057,3,Finished,75536
235,1118,848,3,23,19,15,15,0,24,1850603,3,Finished,75598
236,1118,825,210,20,11,16,16,0,24,1863716,3,Finished,75464
237,1118,855,51,24,18,17,17,0,24,1865932,3,Finished,75837
238,1118,807,210,27,12,18,18,0,24,1867539,3,Finished,75472
239,1118,822,51,77,14,19,19,0,24,1867958,3,Finished,75738
240,1118,858,3,2,20,20,20,0,24,1868154,4,Finished,75496
241,1125,830,9,1,4,1,1,8,19,1924660,3,Finished,100331
242,1125,1,131,44,2,2,2,7,19,1937703,3,Finished,100420
243,1125,815,9,11,6,3,3,6,19,1939918,4,Finished,101065
244,1125,844,6,16,7,4,4,5,19,1942146,4,Finished,101003
245,1125,832,6,55,5,5,5,4,19,1945356,4,Finished,100962
246,1125,846,1,4,1,6,6,3,19,1946748,4,Finished,100951
247,1125,857,1,81,8,7,7,2,19,1949373,3,Finished,101107
248,1125,847,131,63,11,8,8,1,19,1950356,5,Finished,101505
249,1125,855,15,24,10,9,9,0,19,1956611,4,Finished,101502
250,1125,825,210,20,12,10,10,0,19,1962058,5,Finished,102092
251,1125,817,215,3,14,11,11,0,19,1962500,6,Finished,102234
252,1125,822,15,77,9,12,12,0,19,1962955,6,Finished,102140
253,1125,839,214,31,17,13,13,0,19,1964501,4,Finished,102191
254,1125,840,117,18,15,14,14,0,19,1964959,5,Finished,102258
255,1125,842,214,10,16,15,15,0,19,1965498,4,Finished,102017
256,1125,852,215,22,19,16,16,0,19,1966530,4,Finished,102056
257,1125,848,3,23,18,17,17,0,19,1967658,8,Finished,102389
258,1125,858,3,2,20,18,18,0,19,1971012,7,Finished,102515
259,1125,807,210,27,13,19,19,0,19,1974290,5,Finished,102315
260,1125,4,117,14,3,20,20,0,17,\N,3,Retired,100537
261,1126,830,9,1,1,1,1,8,19,1891383,4,Finished,90414
262,1126,844,6,16,2,2,2,7,19,1894754,4,Finished,90807
263,1126,815,9,11,3,3,3,6,19,1896478,19,Finished,90920
264,1126,817,215,3,4,4,4,5,19,1906354,4,Finished,91505
265,1126,832,6,55,5,5,5,4,19,1906605,17,Finished,91568
266,1126,857,1,81,6,6,6,3,19,1907133,19,Finished,91393
267,1126,807,210,27,10,7,7,2,19,1913437,8,Finished,91963
268,1126,852,215,22,15,8,8,1,19,1921199,16,Finished,91844
269,1126,842,214,10,16,9,9,0,19,1923263,6,Finished,92148
270,1126,858,3,2,18,10,10,0,19,1925738,6,Finished,92192
271,1126,855,15,24,17,11,11,0,19,1926461,7,Finished,92131
272,1126,847,131,63,11,12,12,0,19,1927138,8,Finished,92173
273,1126,848,3,23,20,13,13,0,19,1927469,6,Finished,92223
274,1126,822,15,77,19,14,14,0,19,1928275,7,Finished,92462
275,1126,839,214,31,13,15,15,0,19,1929123,19,Finished,92218
276,1126,1,131,44,12,16,16,0,19,1940730,16,Finished,91830
277,1126,4,117,14,8,17,17,0,19,1950792,7,Finished,92354
278,1126,825,210,20,14,18,18,0,19,1957686,5,Finished,92113
279,1126,840,117,18,7,19,19,0,1,\N,\N,Retired,-100
280,1126,846,1,4,9,20,20,0,0,\N,\N,Retired,-100
281,1131,830,9,1,1,1,1,8,23,1601389,8,Finished,69013
282,1131,857,1,81,3,2,2,7,23,1606005,2,Finished,68980
283,1131,846,1,4,2,3,3,6,23,1606737,2,Finished,68935
284,1131,847,131,63,4,4,4,5,23,1609743,4,Finished,69194
285,1131,832,6,55,5,5,5,4,23,1611378,4,Finished,69121
286,1131,1,131,44,6,6,6,3,23,1612596,5,Finished,69265
287,1131,844,6,16,10,7,7,2,23,1614813,5,Finished,69352
288,1131,815,9,11,7,8,8,1,23,1618798,4,Finished,69420
289,1131,825,210,20,11,9,9,0,23,1625456,13,Finished,69942
290,1131,840,117,18,12,10,10,0,23,1631564,11,Finished,70260
291,1131,839,214,31,8,11,11,0,23,1632228,9,Finished,70254
292,1131,842,214,10,9,12,12,0,23,1632697,10,Finished,70168
293,1131,852,215,22,14,13,13,0,23,1636841,5,Finished,70363
294,1131,817,215,3,16,14,14,0,23,1640786,5,Finished,70480
295,1131,4,117,14,13,15,15,0,23,1644544,5,Finished,70393
296,1131,858,3,2,15,16,16,0,23,1645465,6,Finished,70488
297,1131,848,3,23,0,17,17,0,23,1646062,8,Finished,70562
298,1131,822,15,77,18,18,18,0,23,1647900,8,Finished,70590
299,1131,807,210,27,17,19,19,0,23,1649812,4,Finished,70512
300,1131,855,15,24,19,20,20,0,23,1654532,6,Finished,70613
301,1139,830,9,1,1,1,1,8,19,1866146,19,Finished,97463
302,1139,832,6,55,5,2,2,7,19,1870028,19,Finished,97551
303,1139,846,1,4,4,3,3,6,19,1872386,17,Finished,98045
304,1139,844,6,16,3,4,4,5,19,1873102,11,Finished,97747
305,1139,847,131,63,2,5,5,4,19,1881912,4,Finished,98301
306,1139,1,131,44,7,6,6,3,19,1884870,17,Finished,98372
307,1139,825,210,20,8,7,7,2,19,1891307,6,Finished,98602
308,1139,807,210,27,6,8,8,1,19,1892734,16,Finished,98746
309,1139,815,9,11,11,9,9,0,19,1896096,19,Finished,98452
310,1139,857,1,81,16,10,10,0,19,1903205,19,Finished,97567
311,1139,852,215,22,9,11,11,0,19,1904509,19,Finished,99136
312,1139,861,3,43,10,12,12,0,19,1905606,19,Finished,99335
313,1139,840,117,18,13,13,13,0,19,1907382,19,Finished,99532
314,1139,842,214,10,12,14,14,0,19,1908141,19,Finished,99438
315,1139,839,214,31,17,15,15,0,19,1908950,7,Finished,98835
316,1139,859,215,30,15,16,16,0,19,1910154,7,Finished,99237
317,1139,848,3,23,0,17,17,0,19,1910710,17,Finished,99198
318,1139,4,117,14,14,18,18,0,19,1912953,18,Finished,99250
319,1139,855,15,24,19,19,19,0,19,1918988,17,Finished,99705
320,1139,822,15,77,18,20,20,0,19,1920622,16,Finished,99642
321,1141,846,1,4,2,1,1,8,24,1786045,15,Finished,71917
322,1141,857,1,81,1,2,2,7,24,1786638,17,Finished,71783
323,1141,844,6,16,3,3,3,6,24,1791701,3,Finished,71914
324,1141,830,9,1,4,4,4,5,24,1792542,18,Finished,71852
325,1141,832,6,55,5,5,5,4,24,1793269,17,Finished,71975
326,1141,847,131,63,6,6,6,3,24,1798520,12,Finished,72142
327,1141,842,214,10,7,7,7,2,24,1804206,19,Finished,72400
328,1141,815,9,11,13,8,8,1,24,1804762,24,Finished,71678
329,1141,859,215,30,8,9,9,0,24,1806818,18,Finished,72596
330,1141,848,3,23,9,10,10,0,24,1810651,24,Finished,71692
331,1141,1,131,44,11,11,11,0,24,1815809,21,Finished,72545
332,1141,861,3,43,14,12,12,0,24,1819278,15,Finished,72701
333,1141,839,214,31,16,13,13,0,24,1820173,16,Finished,72882
334,1141,860,210,50,10,14,14,0,24,1821552,4,Finished,72974
335,1141,852,215,22,17,15,15,0,24,1827419,14,Finished,72838
336,1141,822,15,77,15,16,16,0,24,1829276,24,Finished,72698
337,1141,855,15,24,0,17,17,0,24,1840184,3,Finished,73559
338,1141,4,117,14,0,18,18,0,24,1842582,16,Finished,73111
339,1141,840,117,18,0,19,19,0,24,1844028,3,Finished,73560
340,1141,807,210,27,12,20,20,0,19,\N,16,Exhaust,72879
341,1143,857,1,81,3,1,1,8,19,1623010,17,Finished,84494
342,1143,846,1,4,1,2,2,7,19,1623146,13,Finished,84329
343,1143,847,131,63,2,3,3,6,19,1623420,18,Finished,84380
344,1143,832,6,55,4,4,4,5,19,1624336,16,Finished,84405
345,1143,844,6,16,5,5,5,4,19,1628083,18,Finished,83923
346,1143,1,131,44,7,6,6,3,19,1628660,18,Finished,84337
347,1143,807,210,27,9,7,7,2,19,1631518,18,Finished,84283
348,1143,830,9,1,6,8,8,1,19,1633378,18,Finished,84577
349,1143,842,214,10,8,9,9,0,19,1637523,19,Finished,84930
350,1143,825,210,20,15,10,10,0,19,1638495,18,Finished,84568
351,1143,4,117,14,11,11,11,0,19,1642214,19,Finished,84281
352,1143,822,15,77,13,12,12,0,19,1646361,12,Finished,85447
353,1143,840,117,18,14,13,13,0,19,1647431,18,Finished,85369
354,1143,839,214,31,17,14,14,0,19,1653389,19,Finished,85598
355,1143,848,3,23,12,15,15,0,19,1656072,18,Finished,85443
356,1143,859,215,30,10,16,16,0,19,1657366,18,Finished,85762
357,1143,852,215,22,16,17,17,0,19,1658112,17,Finished,85838
358,1143,861,3,43,0,18,18,0,19,1658649,18,Finished,85599
359,1143,855,15,24,18,19,19,0,19,1694446,19,Finished,85051
360,1143,815,9,11,0,20,20,0,19,1697381,18,Finished,84892
